zone_id,name,city,latitude,longitude,geometry_method,zone_area_m2,zone_area_km2,osm_building_coverage_percent,osm_building_area_m2,osm_road_length_m,osm_road_density_km_per_km2,osm_source,osm_method,worldcover_builtup_percent,worldcover_source,worldcover_year,worldcover_method,ghsl_10m_built_surface_percent,ghsl_10m_built_surface_area_m2,ghsl_10m_source,ghsl_10m_year,ghsl_10m_method,ghsl_100m_built_surface_percent,ghsl_100m_built_surface_area_m2,ghsl_100m_source,ghsl_100m_year,ghsl_100m_method,urban_density,confidence,sources_used,notes
alexandru_01,Alexandru cel Bun,Iasi,47.1667,27.55,centroid_buffer_radius_950_m,2835002.72,2.835003,13.2497,375628.74,46120.35,16.2682,OpenStreetMap Overpass API,building footprint coverage and road length density inside zone polygon,54.8052,ESA WorldCover v200,2021,zonal histogram over ESA WorldCover class 50 Built-up,22.2483,630740.82,GHSL GHS-BUILT-S 10m via Google Earth Engine,2018,sum of built_surface m2 over zone divided by zone area,22.2221,629997.93,GHSL GHS-BUILT-S 100m via Google Earth Engine,2020,sum of built_surface m2 over zone divided by zone area,0.4423,high,GHSL 10m built surface; ESA WorldCover built-up; OpenStreetMap buildings; OpenStreetMap roads,
bucium_01,Bucium,Iasi,47.11,27.65,centroid_buffer_radius_1400_m,6156903.41,6.156903,0.8714,53651.1,28639.76,4.6517,OpenStreetMap Overpass API,building footprint coverage and road length density inside zone polygon,5.6227,ESA WorldCover v200,2021,zonal histogram over ESA WorldCover class 50 Built-up,3.7171,228855.32,GHSL GHS-BUILT-S 10m via Google Earth Engine,2018,sum of built_surface m2 over zone divided by zone area,3.7891,233292.67,GHSL GHS-BUILT-S 100m via Google Earth Engine,2020,sum of built_surface m2 over zone divided by zone area,0.0914,high,GHSL 10m built surface; ESA WorldCover built-up; OpenStreetMap buildings; OpenStreetMap roads,
centru_01,Centru,Iasi,47.1585,27.6014,centroid_buffer_radius_900_m,2544434.57,2.544435,22.0734,561644.06,62728.29,24.6531,OpenStreetMap Overpass API,building footprint coverage and road length density inside zone polygon,71.0336,ESA WorldCover v200,2021,zonal histogram over ESA WorldCover class 50 Built-up,33.0503,840944.04,GHSL GHS-BUILT-S 10m via Google Earth Engine,2018,sum of built_surface m2 over zone divided by zone area,33.1007,842226.74,GHSL GHS-BUILT-S 100m via Google Earth Engine,2020,sum of built_surface m2 over zone divided by zone area,0.5702,high,GHSL 10m built surface; ESA WorldCover built-up; OpenStreetMap buildings; OpenStreetMap roads,
copou_01,Copou,Iasi,47.185,27.566,centroid_buffer_radius_1300_m,5308758.55,5.308759,8.3025,440760.19,51114.31,9.6283,OpenStreetMap Overpass API,building footprint coverage and road length density inside zone polygon,25.2345,ESA WorldCover v200,2021,zonal histogram over ESA WorldCover class 50 Built-up,14.0264,744630.22,GHSL GHS-BUILT-S 10m via Google Earth Engine,2018,sum of built_surface m2 over zone divided by zone area,14.2242,755130.03,GHSL GHS-BUILT-S 100m via Google Earth Engine,2020,sum of built_surface m2 over zone divided by zone area,0.2811,high,GHSL 10m built surface; ESA WorldCover built-up; OpenStreetMap buildings; OpenStreetMap roads,
cug_01,CUG,Iasi,47.12,27.57,centroid_buffer_radius_1200_m,4523439.24,4.523439,11.8837,537552.36,50300.5,11.12,OpenStreetMap Overpass API,building footprint coverage and road length density inside zone polygon,37.1146,ESA WorldCover v200,2021,zonal histogram over ESA WorldCover class 50 Built-up,18.1572,821327.71,GHSL GHS-BUILT-S 10m via Google Earth Engine,2018,sum of built_surface m2 over zone divided by zone area,18.4499,834572.21,GHSL GHS-BUILT-S 100m via Google Earth Engine,2020,sum of built_surface m2 over zone divided by zone area,0.3638,high,GHSL 10m built surface; ESA WorldCover built-up; OpenStreetMap buildings; OpenStreetMap roads,
dacia_01,Dacia,Iasi,47.166,27.535,centroid_buffer_radius_850_m,2269572.81,2.269573,3.4782,78940.74,11571.17,5.0984,OpenStreetMap Overpass API,building footprint coverage and road length density inside zone polygon,15.6892,ESA WorldCover v200,2021,zonal histogram over ESA WorldCover class 50 Built-up,5.8858,133582.12,GHSL GHS-BUILT-S 10m via Google Earth Engine,2018,sum of built_surface m2 over zone divided by zone area,5.8968,133832.32,GHSL GHS-BUILT-S 100m via Google Earth Engine,2020,sum of built_surface m2 over zone divided by zone area,0.1439,high,GHSL 10m built surface; ESA WorldCover built-up; OpenStreetMap buildings; OpenStreetMap roads,
frumoasa_01,Frumoasa,Iasi,47.13,27.59,centroid_buffer_radius_900_m,2544434.57,2.544435,6.1003,155219.02,26119.33,10.2653,OpenStreetMap Overpass API,building footprint coverage and road length density inside zone polygon,27.1194,ESA WorldCover v200,2021,zonal histogram over ESA WorldCover class 50 Built-up,11.8952,302664.65,GHSL GHS-BUILT-S 10m via Google Earth Engine,2018,sum of built_surface m2 over zone divided by zone area,12.0865,307533.09,GHSL GHS-BUILT-S 100m via Google Earth Engine,2020,sum of built_surface m2 over zone divided by zone area,0.2742,high,GHSL 10m built surface; ESA WorldCover built-up; OpenStreetMap buildings; OpenStreetMap roads,
galata_01,Galata,Iasi,47.145,27.565,centroid_buffer_radius_1100_m,3800945.47,3.800945,7.8998,300265.91,55312.3,14.5522,OpenStreetMap Overpass API,building footprint coverage and road length density inside zone polygon,37.0245,ESA WorldCover v200,2021,zonal histogram over ESA WorldCover class 50 Built-up,18.9482,720210.44,GHSL GHS-BUILT-S 10m via Google Earth Engine,2018,sum of built_surface m2 over zone divided by zone area,19.2841,732978.0,GHSL GHS-BUILT-S 100m via Google Earth Engine,2020,sum of built_surface m2 over zone divided by zone area,0.3579,high,GHSL 10m built surface; ESA WorldCover built-up; OpenStreetMap buildings; OpenStreetMap roads,
nicolina_01,Nicolina,Iasi,47.14,27.585,centroid_buffer_radius_950_m,2835002.72,2.835003,15.2548,432473.46,54323.63,19.1618,OpenStreetMap Overpass API,building footprint coverage and road length density inside zone polygon,59.1082,ESA WorldCover v200,2021,zonal histogram over ESA WorldCover class 50 Built-up,27.8363,789159.27,GHSL GHS-BUILT-S 10m via Google Earth Engine,2018,sum of built_surface m2 over zone divided by zone area,27.767,787196.31,GHSL GHS-BUILT-S 100m via Google Earth Engine,2020,sum of built_surface m2 over zone divided by zone area,0.4854,high,GHSL 10m built surface; ESA WorldCover built-up; OpenStreetMap buildings; OpenStreetMap roads,
pacurari_01,Pacurari,Iasi,47.175,27.54,centroid_buffer_radius_1100_m,3800945.47,3.800945,9.7494,370569.63,57317.8,15.0799,OpenStreetMap Overpass API,building footprint coverage and road length density inside zone polygon,45.1482,ESA WorldCover v200,2021,zonal histogram over ESA WorldCover class 50 Built-up,18.0449,685875.39,GHSL GHS-BUILT-S 10m via Google Earth Engine,2018,sum of built_surface m2 over zone divided by zone area,18.3537,697612.58,GHSL GHS-BUILT-S 100m via Google Earth Engine,2020,sum of built_surface m2 over zone divided by zone area,0.3838,high,GHSL 10m built surface; ESA WorldCover built-up; OpenStreetMap buildings; OpenStreetMap roads,
podu_ros_01,Podu Ros,Iasi,47.145,27.596,centroid_buffer_radius_750_m,1766968.45,1.766968,18.3851,324858.48,35418.85,20.045,OpenStreetMap Overpass API,building footprint coverage and road length density inside zone polygon,70.7251,ESA WorldCover v200,2021,zonal histogram over ESA WorldCover class 50 Built-up,34.0925,602404.29,GHSL GHS-BUILT-S 10m via Google Earth Engine,2018,sum of built_surface m2 over zone divided by zone area,34.0761,602113.18,GHSL GHS-BUILT-S 100m via Google Earth Engine,2020,sum of built_surface m2 over zone divided by zone area,0.5551,high,GHSL 10m built surface; ESA WorldCover built-up; OpenStreetMap buildings; OpenStreetMap roads,
tatarasi_01,Tatarasi,Iasi,47.17,27.625,centroid_buffer_radius_1200_m,4523439.24,4.523439,3.1935,144454.43,23396.66,5.1723,OpenStreetMap Overpass API,building footprint coverage and road length density inside zone polygon,17.723,ESA WorldCover v200,2021,zonal histogram over ESA WorldCover class 50 Built-up,5.7916,261981.47,GHSL GHS-BUILT-S 10m via Google Earth Engine,2018,sum of built_surface m2 over zone divided by zone area,5.9661,269874.59,GHSL GHS-BUILT-S 100m via Google Earth Engine,2020,sum of built_surface m2 over zone divided by zone area,0.1481,high,GHSL 10m built surface; ESA WorldCover built-up; OpenStreetMap buildings; OpenStreetMap roads,
